Estacion;Porc_datos;pct_nulos;Celda_XY;Conteo_celda;Nombre_Est;Depto;Mpio;AH; Z_SZH;x;y
26210140;89;12;(4 - 5);12;ALTAMIRA ;Antioquia; Betulia; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4674144,598;2246043,566
26215010;92;8;(4 - 5);12;CONCORDIA ;Antioquia; Concordia; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4676912,493;2226226,169
26215020;27;74;(5 - 5);18;CANAFISANTO ;Antioquia; Santa Fe De Antioquia ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4688527,43;2267886,19
26220050;63;37;(6 - 5);8;CUMBRE LA ;Antioquia; Peque ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4676024,768;2336188,327
26220060;1;100;(5 - 5);18;TUNAL EL ;Antioquia; Santa Fe De Antioquia ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4686786,233;2286334,973
26220090;99;2;(5 - 5);18;GIRALDO ;Antioquia; Giraldo ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4673148,296;2298001,445
26220100;88;12;(7 - 5);2;GRANJA LA ;Antioquia; Ituango ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4698190,139;2359983,825
26220110;75;25;(7 - 6);13;SANTA RITA ;Antioquia; Ituango ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4711186,555;2368105,344
26225010;7;94;(7 - 5);2;ITUANGO ;Antioquia; Ituango ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4698240,2;2354491,971
26225030;78;22;(5 - 5);18;COTOVE HACIENDA ;Antioquia; Santa Fe De Antioquia ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4687419,198;2280864,13
26225040;77;23;(6 - 5);8;PIUNTI HACIENDA ;Antioquia; Buritic· ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4678070,519;2302557,667
26225050;13;88;(6 - 6);14;PALMAR EL ;Antioquia; Ituango ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4705551,766;2345230,113
26225060;7;93;(5 - 5);18;HACIENDA COTOVE Aut;Antioquia; Santa Fe De Antioquia ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4687419,198;2280864,13
26230010;88;12;(5 - 5);18;OLAYA ;Antioquia; Olaya ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4689297,701;2291342,356
26230110;99;2;(6 - 6);14;SAN ANDRES ;Antioquia; San AndrÈs; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4705068,521;2322352,322
26230130;95;6;(6 - 6);14;CRUCES ARRIBA ;Antioquia; San AndrÈs; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4711715,1;2319811,202
26230140;97;3;(6 - 5);8;PLACITA LA ;Antioquia; Liborina ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4695199,205;2301505,603
26230160;97;3;(6 - 6);14;BRICENO ;Antioquia; BriceÒo; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4722670,765;2343874,482
26230180;56;45;(5 - 5);18;LLANOS DE SAN JUAN ;Antioquia; San JerÛnimo ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4699480,106;2268969,978
26230190;33;68;(6 - 5);8;El Oro;Antioquia; Sabanalarga; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4694381,855;2325013,209
26230200;89;12;(6 - 5);8;SABANALARGA ;Antioquia; Sabanalarga; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4689003,87;2315382,638
26230220;71;29;(6 - 6);14;OCULTA LA ;Antioquia; Belmira ; Magdalena Cauca ; rÌo Porce ;4708446,837;2307903,759
26230240;48;53;(6 - 6);14;ABERTURA LA ;Antioquia; San AndrÈs; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4701196,4;2321307,877
26235020;14;86;(5 - 5);18;La Vega Tab Rubios;Antioquia; Sopetr·n ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4690443,96;2280782,682
26235030;88;13;(6 - 6);14;MATANZAS ;Antioquia; Toledo; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdivia ;4705580,278;2336287,907
26240050;14;86;(8 - 6);10;UNION LA HACIENDA ;Antioquia; C·ceres ; Magdalena Cauca ; rÌo Taraza rÌo Man ;4740889,449;2411397,131
26240060;99;2;(8 - 6);10;MANIZALES ;Antioquia; C·ceres ; Magdalena Cauca ; Cauca San Jorge La Mojana ;4733794,237;2424709,362
26240070;21;79;(7 - 6);13;ALTO EL MUNECO ;Antioquia; Taraz· ; Magdalena Cauca ; rÌo Taraza rÌo Man ;4733462,46;2398534,78
26240080;24;77;(7 - 6);13;HOYO RICO ;Antioquia; Taraz· ; Magdalena Cauca ; rÌo Taraza rÌo Man ;4729649,81;2374591,471
26240090;77;24;(8 - 6);10;PUERTO BELGICA ;Antioquia; C·ceres ; Magdalena Cauca ; rÌo Taraza rÌo Man ;4748092,805;2406009,532
26240100;94;6;(8 - 7);11;Guarumo La Lucha;Antioquia; C·ceres ; Magdalena Cauca ; rÌo Taraza rÌo Man ;4755875,918;2427490,628
26240120;20;80;(7 - 6);13;PUERTO VALDIVIA ;Antioquia; Valdivia ; Magdalena Cauca ; rÌo Taraza rÌo Man ;4731439,958;2365364,633
26240150;74;27;(7 - 6);13;PUERTO VALDIVIA ;Antioquia; Valdivia ; Magdalena Cauca ; Directos rÌo Cauca entre rÌo San Juan y Pto Valdia ;4735115,88;2364238,91
